Address,ReadSymbol,WriteSymbol
0x00,CXM0P,VSYNC
0x01,CXM1P,VBLANK
0x02,CXP0FB,WSYNC
0x03,CXP1FB,RSYNC
0x04,CXM0FB,NUSIZ0
0x05,CXM1FB,NUSIZ1
0x06,CXBLPF,COLUP0
0x07,CXPPMM,COLUP1
0x08,INPT0,COLUPF
0x09,INPT1,COLUBK
0x0a,INPT2,CTRLPF
0x0b,INPT3,REFP0
0x0c,INPT4,REFP1
0x0d,INPT5,PF0
0x0e,,PF1
0x0f,,PF2
0x10,,RESP0
0x11,,RESP1
0x12,,RESM0
0x13,,RESM1
0x14,,RESBL
0x15,,AUDC0
0x16,,AUDC1
0x17,,AUDF0
0x18,,AUDF1
0x19,,AUDV0
0x1a,,AUDV1
0x1b,,GRP0
0x1c,,GRP1
0x1d,,ENAM0
0x1e,,ENAM1
0x1f,,ENABL
0x20,,HMP0
0x21,,HMP1
0x22,,HMM0
0x23,,HMM1
0x24,,HMBL
0x25,,VDELP0
0x26,,VDELP1
0x27,,VDELBL
0x28,,RESMP0
0x29,,RESMP1
0x2a,,HMOVE
0x2b,,HMCLR
0x2c,,CXCLR
0x80,RAM_80,RAM_80
0x81,RAM_81,RAM_81
0x82,RAM_82,RAM_82
0x83,RAM_83,RAM_83
0x84,RAM_84,RAM_84
0x85,RAM_85,RAM_85
0x86,RAM_86,RAM_86
0x87,RAM_87,RAM_87
0x88,RAM_88,RAM_88
0x89,RAM_89,RAM_89
0x8a,RAM_8a,RAM_8a
0x8b,RAM_8b,RAM_8b
0x8c,RAM_8c,RAM_8c
0x8d,RAM_8d,RAM_8d
0x8e,RAM_8e,RAM_8e
0x8f,RAM_8f,RAM_8f
0x90,RAM_90,RAM_90
0x91,RAM_91,RAM_91
0x92,RAM_92,RAM_92
0x93,RAM_93,RAM_93
0x94,RAM_94,RAM_94
0x95,RAM_95,RAM_95
0x96,RAM_96,RAM_96
0x97,RAM_97,RAM_97
0x98,RAM_98,RAM_98
0x99,RAM_99,RAM_99
0x9a,RAM_9a,RAM_9a
0x9b,RAM_9b,RAM_9b
0x9c,RAM_9c,RAM_9c
0x9d,RAM_9d,RAM_9d
0x9e,RAM_9e,RAM_9e
0x9f,RAM_9f,RAM_9f
0xa0,RAM_a0,RAM_a0
0xa1,RAM_a1,RAM_a1
0xa2,RAM_a2,RAM_a2
0xa3,RAM_a3,RAM_a3
0xa4,RAM_a4,RAM_a4
0xa5,RAM_a5,RAM_a5
0xa6,RAM_a6,RAM_a6
0xa7,RAM_a7,RAM_a7
0xa8,RAM_a8,RAM_a8
0xa9,RAM_a9,RAM_a9
0xaa,RAM_aa,RAM_aa
0xab,RAM_ab,RAM_ab
0xac,RAM_ac,RAM_ac
0xad,RAM_ad,RAM_ad
0xae,RAM_ae,RAM_ae
0xaf,RAM_af,RAM_af
0xb0,RAM_b0,RAM_b0
0xb1,RAM_b1,RAM_b1
0xb2,RAM_b2,RAM_b2
0xb3,RAM_b3,RAM_b3
0xb4,RAM_b4,RAM_b4
0xb5,RAM_b5,RAM_b5
0xb6,RAM_b6,RAM_b6
0xb7,RAM_b7,RAM_b7
0xb8,RAM_b8,RAM_b8
0xb9,RAM_b9,RAM_b9
0xba,RAM_ba,RAM_ba
0xbb,RAM_bb,RAM_bb
0xbc,RAM_bc,RAM_bc
0xbd,RAM_bd,RAM_bd
0xbe,RAM_be,RAM_be
0xbf,RAM_bf,RAM_bf
0xc0,RAM_c0,RAM_c0
0xc1,RAM_c1,RAM_c1
0xc2,RAM_c2,RAM_c2
0xc3,RAM_c3,RAM_c3
0xc4,RAM_c4,RAM_c4
0xc5,RAM_c5,RAM_c5
0xc6,RAM_c6,RAM_c6
0xc7,RAM_c7,RAM_c7
0xc8,RAM_c8,RAM_c8
0xc9,RAM_c9,RAM_c9
0xca,RAM_ca,RAM_ca
0xcb,RAM_cb,RAM_cb
0xcc,RAM_cc,RAM_cc
0xcd,RAM_cd,RAM_cd
0xce,RAM_ce,RAM_ce
0xcf,RAM_cf,RAM_cf
0xd0,RAM_d0,RAM_d0
0xd1,RAM_d1,RAM_d1
0xd2,RAM_d2,RAM_d2
0xd3,RAM_d3,RAM_d3
0xd4,RAM_d4,RAM_d4
0xd5,RAM_d5,RAM_d5
0xd6,RAM_d6,RAM_d6
0xd7,RAM_d7,RAM_d7
0xd8,RAM_d8,RAM_d8
0xd9,RAM_d9,RAM_d9
0xda,RAM_da,RAM_da
0xdb,RAM_db,RAM_db
0xdc,RAM_dc,RAM_dc
0xdd,RAM_dd,RAM_dd
0xde,RAM_de,RAM_de
0xdf,RAM_df,RAM_df
0xe0,RAM_e0,RAM_e0
0xe1,RAM_e1,RAM_e1
0xe2,RAM_e2,RAM_e2
0xe3,RAM_e3,RAM_e3
0xe4,RAM_e4,RAM_e4
0xe5,RAM_e5,RAM_e5
0xe6,RAM_e6,RAM_e6
0xe7,RAM_e7,RAM_e7
0xe8,RAM_e8,RAM_e8
0xe9,RAM_e9,RAM_e9
0xea,RAM_ea,RAM_ea
0xeb,RAM_eb,RAM_eb
0xec,RAM_ec,RAM_ec
0xed,RAM_ed,RAM_ed
0xee,RAM_ee,RAM_ee
0xef,RAM_ef,RAM_ef
0xf0,RAM_f0,RAM_f0
0xf1,RAM_f1,RAM_f1
0xf2,RAM_f2,RAM_f2
0xf3,RAM_f3,RAM_f3
0xf4,RAM_f4,RAM_f4
0xf5,RAM_f5,RAM_f5
0xf6,RAM_f6,RAM_f6
0xf7,RAM_f7,RAM_f7
0xf8,RAM_f8,RAM_f8
0xf9,RAM_f9,RAM_f9
0xfa,RAM_fa,RAM_fa
0xfb,RAM_fb,RAM_fb
0xfc,RAM_fc,RAM_fc
0xfd,RAM_fd,RAM_fd
0xfe,RAM_fe,RAM_fe
0xff,RAM_ff,RAM_ff
0x280,SWCHA,
0x281,SWACNT,
0x282,SWCHB,
0x283,SWBCNT,
0x284,INTIM,
0x285,TIMINT,TIMINT
0x294,,TIM1T
0x295,,TIM8T
0x296,,TIM64T
0x297,,T1024T
